VendorName,TotalSalesDollars,TotalPurchaseDollars,GrossProfit,ProfitMargin,StockTurnover
NICHE W & S,90716.63,59780.97,30935.659999999996,45.688336572404694,2.134335033522327
OLE SMOKY DISTILLERY LLC,498602.63999999996,387622.69,110979.94999999998,31.96613131662287,1.4792012477184526
PALM BAY INTERNATIONAL INC,3916054.02,2546769.05,1369284.97,39.377324371715034,1.5656803216386703
PARK STREET IMPORTS LLC,56256.759999999995,46238.950000000004,10017.809999999992,34.61600444068873,1.170310411253231
PERFECTA WINES,7165681.65,4619722.66,2545958.9899999998,43.910499260393195,2.709891428145602
PERNOD RICARD USA,32063196.189999998,23851164.17,8212032.019999999,33.841576392594774,1.5601993122153055
PHILLIPS PRODUCTS CO.,521941.7,329509.32,192432.37999999998,47.26031829585234,1.5111217395914727
PINE STATE TRADING CO,4480059.02,2865890.04,1614168.98,40.252354281474354,2.303963954695405
POVERTY LANE ORCHARDS,73642.09,45269.01,28373.079999999998,55.60138704616277,2.2490935229198485
PREMIER DISTRIBUTORS,105156.92,80378.96,24777.959999999992,20.99421496735604,0.8961285396595973
"PREMIUM PORT WINES, INC.",86057.76,59760.740000000005,26297.019999999993,30.763239488503523,0.9760765393341175
PROXIMO SPIRITS INC.,10291474.7,7331096.34,2960378.36,36.80250507181534,2.743837572099171
PSP WINES,166288.38,117552.55,48735.83,31.589868003087894,0.9864111566948638
R.P.IMPORTS INC,50813.61,18425.33,32388.280000000002,64.9755793705312,2.794522161184554
REMY COINTREAU USA INC,4128578.9899999998,3130918.49,997660.4999999998,36.19793170043289,1.6479915291960043
Russian Standard Vodka,112324.44,72927.58,39396.85999999999,53.8193169684731,2.0804494067381443
SAZERAC CO INC,13099400.93,9714369.07,3385031.86,31.61422120049813,1.7100821828416815
SAZERAC NORTH AMERICA INC.,4942047.11,3504979.06,1437068.05,29.48389333321259,1.5723735805038703
SEA BREEZE CELLARS LLC,129281.34,78426.74,50854.59999999999,41.04842017010917,1.26738515305736
SEA HAGG DISTILLERY LLC,140927.55,114125.74,26801.809999999998,30.15248861964292,1.1520294024854916
SHAW ROSS INT L IMP LTD,840689.58,596585.0,244104.58,26.353560542769465,0.9560292333461647
SIDNEY FRANK IMPORTING CO,2256371.25,1715908.8800000001,540462.37,37.12290245455783,1.7373124341664687
SILVER MOUNTAIN CIDERS,342.51,77.17999999999999,265.33,77.46635134740592,2.8823529411764706
SMOKY QUARTZ DISTILLERY LLC,32784.71,26076.35,6708.359999999997,21.597023799780377,1.0135968037300234
SOUTHERN GLAZERS W&S OF NE,34731.07,27041.64,7689.430000000003,24.18344862858632,0.883701122725513
SOUTHERN WINE & SPIRITS NE,5540980.4,3430367.42,2110612.98,47.59393917634325,2.8202305861559487
STAR INDUSTRIES INC.,7870.759999999999,2452.29,5418.47,72.55634136644733,3.065315315315315
STATE WINE & SPIRITS,2245844.57,1455770.99,790073.58,38.953401762094096,1.7013236045072342
STE MICHELLE WINE ESTATES,4889920.32,3072111.15,1817809.17,35.82353432562289,1.1180299584649738
STELLAR IMPORTING CO LLC,34855.75,23529.16,11326.59,29.000563148195244,0.9802930580783317
"STOLI GROUP,(USA) LLC",4519228.1,3405741.88,1113486.22,30.952808328982545,3.831654213836266
SURVILLE ENTERPRISES CORP,72826.65,42954.48,29872.17,39.58302893080793,1.1560244097106516
SWEET BABY VINEYARD,184253.27000000002,140577.9,43675.37000000001,23.38311132864574,0.8766375488418024
SWEETWATER FARM,21812.01,19716.41,2095.5999999999995,12.301416349856181,0.8510474173802915
Serralles Usa LLC,193933.21999999997,135637.15,58296.06999999997,46.560189774307126,1.924339872525994
TAKARA SAKE USA INC,64082.97,45289.34,18793.629999999997,31.080371249550115,0.9894033814816753
TALL SHIP DISTILLERY LLC,39792.619999999995,31160.5,8632.119999999997,21.646853039780723,0.9828540668915675
TAMWORTH DISTILLING,24540.18,23863.84,676.3400000000001,2.7560515041046973,0.797077922077922
THE IMPORTED GRAPE LLC,18703.649999999998,12379.45,6324.2,30.828858388058855,0.9149084635221826
THE PIERPONT GROUP LLC,17315.68,5249.87,12065.810000000001,54.545447973058174,2.109428082818041
TREASURY WINE ESTATES,4687109.19,2884603.55,1802505.64,40.26262714524702,1.147533334610862
TRINCHERO FAMILY ESTATES,3388966.19,2154699.95,1234266.24,32.236557622695976,1.065994109120852
TY KU LLC,21476.579999999998,13068.460000000001,8408.119999999999,37.60948888488049,0.984654974185431
ULTRA BEVERAGE COMPANY LLP,16502544.31,11167081.61,5335462.7,41.103074387264016,2.525238553521329
UNCORKED,176.94,118.74,58.2,32.89250593421499,1.0
VINEDREA WINES LLC,11385.599999999999,4657.599999999999,6727.999999999999,59.092186621697586,2.1463414634146343
VINEXTRA INC,129092.37,88185.72,40906.649999999994,34.82778721706861,1.1361714523533175
VINEYARD BRANDS INC,1825354.63,1175591.29,649763.34,43.17033321636783,1.7141348089165287
VINILANDIA USA,786927.86,501087.21,285840.64999999997,37.234799549343236,1.8022786283685757
VRANKEN AMERICA,340799.11,207317.5,133481.61000000002,52.543946876817266,2.397048226809548
WALPOLE MTN VIEW WINERY,11483.88,9292.31,2191.5699999999997,18.596378365526537,0.820547968078008
WEIN BAUER INC,56217.13,42694.64000000001,13522.489999999996,25.646426343548693,0.9111344871387743
WESTERN SPIRITS BEVERAGE CO,405254.83,298416.86,106837.97000000002,37.14454247103005,1.6342567113234836
WILLIAM GRANT & SONS INC,7569876.2,5876538.26,1693337.94,31.17175296990318,1.3610712819958326
WINE GROUP INC,8304043.28,5203801.17,3100242.11,33.85466507831474,1.1008891920749952
ZORVINO VINEYARDS,124189.59,86122.71,38066.88,29.335903008042294,0.950030405904854
